row_id,Action,ID,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,QuestName,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
24,Accept,384,Dun Morogh,,,,,https://classic.wowhead.com/quest=384,,,,"",,,,"","",,accept ##384
25,Buy,,,,,,from Innkeeper Belm,https://classic.wowhead.com/quest=,2894,Rhapsody Malt,1,"",,,,"","",,
26,TurnIn,384,,,,,,https://classic.wowhead.com/quest=384,,,,"",,,,"","",,turnin ##384
27,TurnIn,317,Dun Morogh,,,,,https://classic.wowhead.com/quest=317,,,,"",,,,"","",,turnin ##317
28,Accept,318,Dun Morogh,,,,,https://classic.wowhead.com/quest=318,,,,"",,,,"","",,accept ##318
29,TurnIn,313,Dun Morogh,,,,,https://classic.wowhead.com/quest=313,,,,"",,,,"","",,turnin ##313
30,Accept,312,Dun Morogh,,,,,https://classic.wowhead.com/quest=312,,,,"",,,,"","",,accept ##312
31,Text,,,,,,For the next part you do NOT need to kill the yeti. Wait until he leaves - this might take up to 5minutes- the cave(if he is in there) and then loot the chest and run out immediately!,https://classic.wowhead.com/quest=,,,,"",,,,"","",,For the next part you do NOT need to kill the yeti. Wait until he leaves - this might take up to 5minutes- the cave(if he is in there) and then loot the chest and run out immediately!
32,Do,312,Dun Morogh,,,,,https://classic.wowhead.com/quest=312,,,,"",,,,"","",,Do: 
33,TurnIn,312,Dun Morogh,,,,,https://classic.wowhead.com/quest=312,,,,"",,,,"","",,turnin ##312
34,TurnIn,318,Dun Morogh,,,,,https://classic.wowhead.com/quest=318,,,,"",,,,"","",,turnin ##318
35,Accept,319,Dun Morogh,,,,,https://classic.wowhead.com/quest=319,,,,"",,,,"","",,accept ##319
36,Accept,310,Dun Morogh,,,,,https://classic.wowhead.com/quest=310,,,,"",,,,"","",,accept ##310
37,Do,319,Dun Morogh,,,,,https://classic.wowhead.com/quest=319,,,,"",,,,"","",,Do: 
38,Run,,Dun Morogh,"30.9,36.5",,,,https://classic.wowhead.com/quest=,,,,"","shape: (2,)
Series: '' [str]
[
	""30.9""
	""36.5""
]",30.9,36.5,"","",,"Run to 30.9,36.5 |goto Dun Morogh 30.9,36.5"
39,Run,,Dun Morogh,"31.1,31.2",,,,https://classic.wowhead.com/quest=,,,,"","shape: (2,)
Series: '' [str]
[
	""31.1""
	""31.2""
]",31.1,31.2,"","",,"Run to 31.1,31.2 |goto Dun Morogh 31.1,31.2"
40,Run,,Dun Morogh,"32.8,29.1",,,,https://classic.wowhead.com/quest=,,,,"","shape: (2,)
Series: '' [str]
[
	""32.8""
	""29.1""
]",32.8,29.1,"","",,"Run to 32.8,29.1 |goto Dun Morogh 32.8,29.1"
41,Run,,Dun Morogh,"32.9, 27.5",,,,https://classic.wowhead.com/quest=,,,,"","shape: (2,)
Series: '' [str]
[
	""32.9""
	"" 27.5""
]",32.9, 27.5,"","",,"Run to 32.9, 27.5 |goto Dun Morogh 32.9, 27.5"
42,Text,,,,,,"There is a hill infront of you, that gets you into The Great Sea(Above your minimap). Go ontop of that.",https://classic.wowhead.com/quest=,,,,"",,,,"","",,"There is a hill infront of you, that gets you into The Great Sea(Above your minimap). Go ontop of that."
43,Text,,Wetlands,,,,"Jump to your death towards north, Rezz up at the Spirit Healer.",https://classic.wowhead.com/quest=,,,,"",,,,"","",,"Jump to your death towards north, Rezz up at the Spirit Healer."
44,Run,,Wetlands,"10.05, 55.7",,,https://classic.wowhead.com/quest=,,,,,"","shape: (2,)
Series: '' [str]
[
	""10.05""
	"" 55.7""
]",10.05, 55.7,"","",Dwarf,"Run to 10.05, 55.7 |goto Wetlands 10.05, 55.7
|only if Dwarf"
45,FlightPath,,Wetlands,"9.6,59.6",,,,https://classic.wowhead.com/quest=,,,,"","shape: (2,)
Series: '' [str]
[
	""9.6""
	""59.6""
]",9.6,59.6,"","",,""
46,UseHearthstone,,Dun Morogh,,,,,https://classic.wowhead.com/quest=,,,,"",,,,"","",,use Hearthstone##6948
47,Buy,,Dun Morogh,,,,,https://classic.wowhead.com/quest=,2686,Thunder Ale,1,"",,,,"","",,
48,Text,,Dun Morogh,,,,"Downstairs there is a Dwarf protecting the Barrel, Give him the Thunder Ale(if he isnt there,someone else has done this and you can interact with the barrel immediately and drink the Ale yourself!)",https://classic.wowhead.com/quest=,,,,"",,,,"","",,"Downstairs there is a Dwarf protecting the Barrel, Give him the Thunder Ale(if he isnt there,someone else has done this and you can interact with the barrel immediately and drink the Ale yourself!)"
49,TurnIn,310,Dun Morogh,,,,,https://classic.wowhead.com/quest=310,,,,"",,,,"","",,turnin ##310
50,Accept,311,Dun Morogh,,,,,https://classic.wowhead.com/quest=311,,,,"",,,,"","",,accept ##311
51,TurnIn,384,Dun Morogh,,,,,https://classic.wowhead.com/quest=384,,,,"",,,,"","",,turnin ##384
52,Buy,,,,,,"from Grawn Thromwyn [G45.3, 52.2 Dun Morogh]",https://classic.wowhead.com/quest=,2493,Wooden Mallet,1,"",,,,"","","Warrior, Paladin",
53,TurnIn,319,Dun Morogh,,,,,https://classic.wowhead.com/quest=319,,,,"",,,,"","",,turnin ##319
54,Accept,320,Dun Morogh,,,,,https://classic.wowhead.com/quest=320,,,,"",,,,"","",,accept ##320
55,TurnIn,311,Dun Morogh,,,,,https://classic.wowhead.com/quest=311,,,,"",,,,"","",,turnin ##311
56,Do,287,Dun Morogh,,,,,https://classic.wowhead.com/quest=287,,,,"",,,,"","",,Do: 
57,Text,,Dun Morogh,,,,"MAKE SURE YOU GOT THE EXPLORATION part of ""Frostmane Hold"". Die on purpose and rezz up! If youre a pserver player: dieing IN the cave gets you to Kharanos not the starting area!",https://classic.wowhead.com/quest=,,,,"",,,,"","",,"MAKE SURE YOU GOT THE EXPLORATION part of ""Frostmane Hold"". Die on purpose and rezz up! If youre a pserver player: dieing IN the cave gets you to Kharanos not the starting area!"
58,TurnIn,287,Dun Morogh,,,,,https://classic.wowhead.com/quest=287,,,,"",,,,"","",,turnin ##287
59,Accept,291,Dun Morogh,,,,,https://classic.wowhead.com/quest=291,,,,"",,,,"","",,accept ##291
60,TurnIn,320,Dun Morogh,,,,,https://classic.wowhead.com/quest=320,,,,"",,,,"","",,turnin ##320
