,Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
"[22] = { str = "Grind 4-10 Bars unless those pesky AoE farming mages are here :D" },",Grind 4-10 Bars unless those pesky AoE farming mages are here :D,Text,,,Tanaris,,,,,Grind 4-10 Bars unless those pesky AoE farming mages are here :D,https://classic.wowhead.com/quest=
"[23] = { str = "TurnIn: #TURNINWastewander Justice# " },",TurnIn: [QT1690],Turnin,1690,Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1690
"[24] = { str = "Accept: #ACCEPTMore Wastewander Justice#" },",Accept: [QA1691],Accept,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691
"[25] = { str = "TurnIn: #TURNINWater Pouch Bounty# " },",TurnIn: [QT1707],Turnin,1707,Water Pouch Bounty,Tanaris,,,,,,https://classic.wowhead.com/quest=1707
"[26] = { str = "DoQuest: #DOQUESTMore Wastewander Justice# " },",Do: [QC1691],Do,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691
"[27] = { str = "DoQuest: #DOQUESTWANTED: Caliph Scorpidsting# " },",Do: [QC2781],Do,2781,WANTED: Caliph Scorpidsting,Tanaris,,,,,,https://classic.wowhead.com/quest=2781
"[28] = { str = "TurnIn: #TURNINStoley's Shipment# " },",TurnIn: [QT2873],Turnin,2873,Stoley's Shipment,Tanaris,,,,,,https://classic.wowhead.com/quest=2873
"[29] = { str = "Accept: #ACCEPTDeliver to MacKinley#" },",Accept: [QA2874],Accept,2874,Deliver to MacKinley,Tanaris,,,,,,https://classic.wowhead.com/quest=2874
"[30] = { str = "TurnIn: #TURNINWANTED: Andre Firebeard# " },",TurnIn: [QT2875],Turnin,2875,WANTED: Andre Firebeard,Tanaris,,,,,,https://classic.wowhead.com/quest=2875
"[31] = { str = "TurnIn: #TURNINDancing for Marzipan# " },",TurnIn: [QT8360],Turnin,8360,Dancing for Marzipan,Tanaris,,,,,,https://classic.wowhead.com/quest=8360
"[32] = { str = "TurnIn: #TURNINPirate Hats Ahoy!# " },",TurnIn: [QT8365],Turnin,8365,Pirate Hats Ahoy!,Tanaris,,,,,,https://classic.wowhead.com/quest=8365
"[33] = { str = "TurnIn: #TURNINMore Wastewander Justice# " },",TurnIn: [QT1691],Turnin,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691
"[34] = { str = "TurnIn: #TURNINWANTED: Caliph Scorpidsting# " },",TurnIn: [QT2781],Turnin,2781,WANTED: Caliph Scorpidsting,Tanaris,,,,,,https://classic.wowhead.com/quest=2781
"[35] = { str = "Accept: #ACCEPTHandle With Care#" },",Accept: [QA3022],Accept,3022,Handle With Care,Tanaris,,,,,,https://classic.wowhead.com/quest=3022
