,Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
"[53] = { str = "In the Room with Galgann Firehammer open the cache to get the Ruby and Tablet of Will from the Tablet" },",In the Room with Galgann Firehammer open the cache to get the Ruby and Tablet of Will from the Tablet,Text,,,Uldaman,,,,,In the Room with Galgann Firehammer open the cache to get the Ruby and Tablet of Will from the Tablet,https://classic.wowhead.com/quest=
"[54] = { str = "Kill Grimlok, loot the Sapphire and use [Talvash's Phial of Scrying] to turnin" },","Kill Grimlok, loot the Sapphire and use [Talvash's Phial of Scrying] to turnin",Text,,,Uldaman,,,,,"Kill Grimlok, loot the Sapphire and use [Talvash's Phial of Scrying] to turnin",https://classic.wowhead.com/quest=
"[55] = { str = "TurnIn: #TURNINFind the Gems# " },",TurnIn: [QT2201],TurnIn,2201,Find the Gems,Uldaman,,,,,,https://classic.wowhead.com/quest=2201
"[56] = { str = "Accept: #ACCEPTRestoring the Necklace#" },",Accept: [QA2204],Accept,2204,Restoring the Necklace,Uldaman,,,,,,https://classic.wowhead.com/quest=2204
"[57] = { str = "Accept: #ACCEPTThe Platinum Discs#" },",Accept: [QA2278],Accept,2278,The Platinum Discs,Uldaman,,,,,,https://classic.wowhead.com/quest=2278
"[58] = { str = "TurnIn: #TURNINThe Platinum Discs# " },",TurnIn: [QT2278],TurnIn,2278,The Platinum Discs,Uldaman,,,,,,https://classic.wowhead.com/quest=2278
"[59] = { str = "Accept: #ACCEPTThe Platinum Discs#" },",Accept: [QA2279],Accept,2279,The Platinum Discs,Uldaman,,,,,,https://classic.wowhead.com/quest=2279
"[60] = { str = "Use your [H] Hearthstone." },",Use your [H] Hearthstone.,UseHearthstone,,,Uldaman,,,,,,https://classic.wowhead.com/quest=
"[61] = { str = "If the Hearthstone isnt ready....Run to Loch Modan and Fly to IF" },",If the Hearthstone isnt ready....Run to Loch Modan and Fly to IF,Text,,,Uldaman,,,,,If the Hearthstone isnt ready....Run to Loch Modan and Fly to IF,https://classic.wowhead.com/quest=
"[62] = { str = "TurnIn: #TURNINThe Platinum Discs# " },",TurnIn: [QT2279],TurnIn,2279,The Platinum Discs,Ironforge,,,,,,https://classic.wowhead.com/quest=2279
"[63] = { str = "Accept: #ACCEPTThe Platinum Discs#" },",Accept: [QA2439],Accept,2439,The Platinum Discs,Ironforge,,,,,,https://classic.wowhead.com/quest=2439
"[64] = { str = "TurnIn: #TURNINThe Hidden Chamber# " },",TurnIn: [QT2240],TurnIn,2240,The Hidden Chamber,Ironforge,,,,,,https://classic.wowhead.com/quest=2240
"[65] = { str = "TurnIn: #TURNINThe Lost Tablets of Will# " },",TurnIn: [QT1139],TurnIn,1139,The Lost Tablets of Will,Ironforge,,,,,,https://classic.wowhead.com/quest=1139
"[66] = { str = "TurnIn: #TURNINRestoring the Necklace# " },",TurnIn: [QT2204],TurnIn,2204,Restoring the Necklace,Ironforge,,,,,,https://classic.wowhead.com/quest=2204
"[67] = { str = "Accept: #ACCEPTRestoring the Necklace#" },",Accept: [QA2361],Accept,2361,Restoring the Necklace,Ironforge,,,,,,https://classic.wowhead.com/quest=2361
"[68] = { str = "TurnIn: #TURNINRestoring the Necklace# " },",TurnIn: [QT2361],TurnIn,2361,Restoring the Necklace,Ironforge,,,,,,https://classic.wowhead.com/quest=2361
"[69] = { str = "TurnIn: #TURNINThe Platinum Discs# " },",TurnIn: [QT2439],TurnIn,2439,The Platinum Discs,Ironforge,,,,,,https://classic.wowhead.com/quest=2439
