Name,Action,ID,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
"Run to [G30.9,36.5Dun Morogh]",Run,,Dun Morogh,"30.9,36.5",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G31.1,31.2Dun Morogh]",Run,,Dun Morogh,"31.1,31.2",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G32.8,29.1Dun Morogh]",Run,,Dun Morogh,"32.8,29.1",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G32.9, 27.5Dun Morogh]",Run,,Dun Morogh,"32.9, 27.5",,,,,https://classic.wowhead.com/quest=,,,
"There is a hill infront of you, that gets you into "The Great Sea"(Above your minimap). Go ontop of that.",Text,,,,,,,"There is a hill infront of you, that gets you into "The Great Sea"(Above your minimap). Go ontop of that.",https://classic.wowhead.com/quest=,,,
"Jump to your death towards north, Rezz up at the Spirit Healer.",Text,,Wetlands,,,,,"Jump to your death towards north, Rezz up at the Spirit Healer.",https://classic.wowhead.com/quest=,,,
Run to [GWetlands],Run,,,Wetlands,"10.05, 55.7",,,Dwarf,https://classic.wowhead.com/quest=,,,
"Get the [P] flightpath at: [G9.6,59.6Wetlands]",FlightPath,,Wetlands,"9.6,59.6",,,,,https://classic.wowhead.com/quest=,,,
Use your [H] Hearthstone.,UseHearthstone,,Dun Morogh,,,,,,https://classic.wowhead.com/quest=,,,
"Buy: [CI2686,1 Thunder Ale] ",Buy,,Dun Morogh,,,,,,https://classic.wowhead.com/quest=,2686,Thunder Ale,1
"Downstairs there is a Dwarf protecting the Barrel, Give him the Thunder Ale(if he isnt there,someone else has done this and you can interact with the barrel immediately and drink the Ale yourself!)",Text,,Dun Morogh,,,,,"Downstairs there is a Dwarf protecting the Barrel, Give him the Thunder Ale(if he isnt there,someone else has done this and you can interact with the barrel immediately and drink the Ale yourself!)",https://classic.wowhead.com/quest=,,,
TurnIn: [QT310],TurnIn,310,Dun Morogh,,,,,,https://classic.wowhead.com/quest=310,,,
Accept: [QA311],Accept,311,Dun Morogh,,,,,,https://classic.wowhead.com/quest=311,,,
TurnIn: [QT384],TurnIn,384,Dun Morogh,,,,,,https://classic.wowhead.com/quest=384,,,
"Buy: [CI2493,1 Wooden Mallet] from Grawn Thromwyn [G45.3, 52.2 Dun Morogh][A Warrior, Paladin]",Buy,,,,,,"Warrior, Paladin","from Grawn Thromwyn [G45.3, 52.2 Dun Morogh]",https://classic.wowhead.com/quest=,2493,Wooden Mallet,1
TurnIn: [QT319],TurnIn,319,Dun Morogh,,,,,,https://classic.wowhead.com/quest=319,,,
Accept: [QA320],Accept,320,Dun Morogh,,,,,,https://classic.wowhead.com/quest=320,,,
TurnIn: [QT311],TurnIn,311,Dun Morogh,,,,,,https://classic.wowhead.com/quest=311,,,
Do: [QC287],Do,287,Dun Morogh,,,,,,https://classic.wowhead.com/quest=287,,,
MAKE SURE YOU GOT THE EXPLORATION part of "Frostmane Hold". Die on purpose and rezz up! If youre a pserver player: dieing IN the cave gets you to Kharanos not the starting area!,Text,,Dun Morogh,,,,,MAKE SURE YOU GOT THE EXPLORATION part of "Frostmane Hold". Die on purpose and rezz up! If youre a pserver player: dieing IN the cave gets you to Kharanos not the starting area!,https://classic.wowhead.com/quest=,,,
TurnIn: [QT287],TurnIn,287,Dun Morogh,,,,,,https://classic.wowhead.com/quest=287,,,
Accept: [QA291],Accept,291,Dun Morogh,,,,,,https://classic.wowhead.com/quest=291,,,
TurnIn: [QT320],TurnIn,320,Dun Morogh,,,,,,https://classic.wowhead.com/quest=320,,,
