Name,Action,ID,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount,,,,,,,
Accept: [QA929],Accept,929,Teldrassil,,,,,,https://classic.wowhead.com/quest=929,,,,,,,,,,
"[A Druid] Buy [CI2495,1 Walking Stick] from Shalomon [G56.3, 59.5 Teldrassil].",Text,,Teldrassil,,,,Druid,"[A Druid] Buy [CI2495,1 Walking Stick] from Shalomon [G56.3, 59.5 Teldrassil].",https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT2159],TurnIn,2159,Teldrassil,,,,,,https://classic.wowhead.com/quest=2159,,,,,,,,,,
"Set your [S] to Teldrassil at [G55.6, 59.8Teldrassil]",Hearthstone,,Teldrassil,"55.6, 59.8",,,,,https://classic.wowhead.com/quest=,,,,,,,,,,
Accept: [QA997],Accept,997,Teldrassil,,,,,,https://classic.wowhead.com/quest=997,,,,,,,,,,
Accept: [QA475],Accept,475,Teldrassil,,,,,,https://classic.wowhead.com/quest=475,,,,,,,,,,
Accept: [QA2438],Accept,2438,Teldrassil,,,,,,https://classic.wowhead.com/quest=2438,,,,,,,,,,
Accept: [QA932],Accept,932,Teldrassil,,,,,,https://classic.wowhead.com/quest=932,,,,,,,,,,
TurnIn: [QT488],TurnIn,488,Teldrassil,,,,,,https://classic.wowhead.com/quest=488,,,,,,,,,,
"Fill the Jade Phial at the moonwell at [G63,58Teldrassil]. Tick this step manually if you did so.",Text,,Teldrassil,,,,,"Fill the Jade Phial at the moonwell at [G63,58Teldrassil]. Tick this step manually if you did so.",https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT475],TurnIn,475,Teldrassil,,,,,,https://classic.wowhead.com/quest=475,,,,,,,,,,
Accept: [QA476],Accept,476,Teldrassil,,,,,,https://classic.wowhead.com/quest=476,,,,,,,,,,
Do: [QC2438],Do,2438,Teldrassil,,,,,,https://classic.wowhead.com/quest=2438,,,,,,,,,,
Grind  Starbreeze Village till level [XP7+2500 7+2500],Grind,,Starbreeze Village,,,7+2500,,,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT997],TurnIn,997,Teldrassil,,,,,,https://classic.wowhead.com/quest=997,,,,,,,,,,
Accept: [QA918],Accept,918,Teldrassil,,,,,,https://classic.wowhead.com/quest=918,,,,,,,,,,
Accept: [QA919],Accept,919,Teldrassil,,,,,,https://classic.wowhead.com/quest=919,,,,,,,,,,
Do [QC918- ][QC919],Text,918,Teldrassil,,,,,Do [QC918- ][QC919],https://classic.wowhead.com/quest=918,,,,,,,,,,
TurnIn: [QT918],TurnIn,918,Teldrassil,,,,,,https://classic.wowhead.com/quest=918,,,,,,,,,,
TurnIn: [QT919],TurnIn,919,Teldrassil,,,,,,https://classic.wowhead.com/quest=919,,,,,,,,,,
Accept: [QA922],Accept,922,Teldrassil,,,,,,https://classic.wowhead.com/quest=922,,,,,,,,,,
Die on purpose,Text,,Teldrassil,,,,,Die on purpose,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT929],TurnIn,929,Teldrassil,,,,,,https://classic.wowhead.com/quest=929,,,,,,,,,,
Accept: [QA933],Accept,933,Teldrassil,,,,,,https://classic.wowhead.com/quest=933,,,,,,,,,,
Accept: [QA489],Accept,489,Teldrassil,,,,,,https://classic.wowhead.com/quest=489,,,,,,,,,,
Accept: [QA487],Accept,487,Teldrassil,,,,,,https://classic.wowhead.com/quest=487,,,,,,,,,,
TurnIn: [QT476],TurnIn,476,Teldrassil,,,,,,https://classic.wowhead.com/quest=476,,,,,,,,,,
TurnIn: [QT2438],TurnIn,2438,Teldrassil,,,,,,https://classic.wowhead.com/quest=2438,,,,,,,,,,
Accept: [QA2459],Accept,2459,Teldrassil,,,,,,https://classic.wowhead.com/quest=2459,,,,,,,,,,
Do [QC932- ][QC489- ][QC487],Text,932,Teldrassil,,,,,Do [QC932- ][QC489- ][QC487],https://classic.wowhead.com/quest=932,,,,,,,,,,
Grind  this area till level [XP9 9],Grind,,this area,,,9,,,https://classic.wowhead.com/quest=,,,,,,,,,,
"Fill the Phial at [G42,67Teldrassil]",Text,,Teldrassil,,,,,"Fill the Phial at [G42,67Teldrassil]",https://classic.wowhead.com/quest=,,,,,,,,,,
Accept: [QA930],Accept,930,Teldrassil,,,,,,https://classic.wowhead.com/quest=930,,,,,,,,,,
Die on purpose,Text,,Teldrassil,,,,,Die on purpose,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT933],TurnIn,933,Teldrassil,,,,,,https://classic.wowhead.com/quest=933,,,,,,,,,,
Accept: [QA7383],Accept,7383,Teldrassil,,,,,,https://classic.wowhead.com/quest=7383,,,,,,,,,,
TurnIn: [QT489],TurnIn,489,Teldrassil,,,,,,https://classic.wowhead.com/quest=489,,,,,,,,,,
Do: [QC2459],Do,2459,Teldrassil,,,,,,https://classic.wowhead.com/quest=2459,,,,,,,,,,
Die on purpose,Text,,Teldrassil,,,,,Die on purpose,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT932],TurnIn,932,Teldrassil,,,,,,https://classic.wowhead.com/quest=932,,,,,,,,,,
TurnIn: [QT2459],TurnIn,2459,Teldrassil,,,,,,https://classic.wowhead.com/quest=2459,,,,,,,,,,
TurnIn: [QT487],TurnIn,487,Teldrassil,,,,,,https://classic.wowhead.com/quest=487,,,,,,,,,,
Accept: [QA937],Accept,937,Teldrassil,,,,,,https://classic.wowhead.com/quest=937,,,,,,,,,,
"Fill the Phial at [G38,34Teldrassil]",Text,,Teldrassil,,,,,"Fill the Phial at [G38,34Teldrassil]",https://classic.wowhead.com/quest=,,,,,,,,,,
Do: [QC937],Do,937,Teldrassil,,,,,,https://classic.wowhead.com/quest=937,,,,,,,,,,
Accept: [QA931],Accept,931,Teldrassil,,,,,,https://classic.wowhead.com/quest=931,,,,,,,,,,
TurnIn: [QT937],TurnIn,937,Teldrassil,,,,,,https://classic.wowhead.com/quest=937,,,,,,,,,,
Accept: [QA940],Accept,940,Teldrassil,,,,,,https://classic.wowhead.com/quest=940,,,,,,,,,,
Use your [H] Hearthstone.,UseHearthstone,,Teldrassil,,,,,,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT7383],TurnIn,7383,Teldrassil,,,,,,https://classic.wowhead.com/quest=7383,,,,,,,,,,
Accept: [QA935],Accept,935,Teldrassil,,,,,,https://classic.wowhead.com/quest=935,,,,,,,,,,
TurnIn: [QT930],TurnIn,930,Teldrassil,,,,,,https://classic.wowhead.com/quest=930,,,,,,,,,,
TurnIn: [QT931],TurnIn,931,Teldrassil,,,,,,https://classic.wowhead.com/quest=931,,,,,,,,,,
TurnIn: [QT2399],TurnIn,2399,Teldrassil,,,,,,https://classic.wowhead.com/quest=2399,,,,,,,,,,
Die on purpose,Text,,Teldrassil,,,,,Die on purpose,https://classic.wowhead.com/quest=,,,,,,,,,,
Accept: [QA6063][A Hunter],Accept,6063,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6063,,,,,,,,,,
Do: [QC6063][A Hunter],Do,6063,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6063,,,,,,,,,,
TurnIn: [QT6063][A Hunter],TurnIn,6063,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6063,,,,,,,,,,
Accept: [QA6101][A Hunter],Accept,6101,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6101,,,,,,,,,,
Do: [QC6101][A Hunter],Do,6101,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6101,,,,,,,,,,
TurnIn: [QT6101][A Hunter],TurnIn,6101,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6101,,,,,,,,,,
Accept: [QA6102][A Hunter],Accept,6102,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6102,,,,,,,,,,
Do: [QC6102][A Hunter],Do,6102,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6102,,,,,,,,,,
TurnIn: [QT6102][A Hunter],TurnIn,6102,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6102,,,,,,,,,,
Accept: [QA6103][A Hunter],Accept,6103,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6103,,,,,,,,,,
Get a pet you like. [A Hunter],Text,,Teldrassil,,,,Hunter,Get a pet you like. [A Hunter],https://classic.wowhead.com/quest=,,,,,,,,,,
Accept: [QA6344],Accept,6344,Teldrassil,,,,,,https://classic.wowhead.com/quest=6344,,,,,,,,,,
TurnIn: [QT922],TurnIn,922,Teldrassil,,,,,,https://classic.wowhead.com/quest=922,,,,,,,,,,
TurnIn: [QT935],TurnIn,935,Teldrassil,,,,,,https://classic.wowhead.com/quest=935,,,,,,,,,,
TurnIn: [QT940],TurnIn,940,Teldrassil,,,,,,https://classic.wowhead.com/quest=940,,,,,,,,,,
Accept: [QA952],Accept,952,Teldrassil,,,,,,https://classic.wowhead.com/quest=952,,,,,,,,,,
TurnIn: [QT6103][A Hunter],TurnIn,6103,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=6103,,,,,,,,,,
Teleport to Ruth'theran,Text,,Teldrassil,,,,,Teleport to Ruth'theran,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT6344],TurnIn,6344,Teldrassil,,,,,,https://classic.wowhead.com/quest=6344,,,,,,,,,,
Accept: [QA6341],Accept,6341,Teldrassil,,,,,,https://classic.wowhead.com/quest=6341,,,,,,,,,,
TurnIn: [QT6341],TurnIn,6341,Auberdine,,,,,,https://classic.wowhead.com/quest=6341,,,,,,,,,,
Accept: [QA6342],Accept,6342,Auberdine,,,,,,https://classic.wowhead.com/quest=6342,,,,,,,,,,
Fly to [F Auberdine],Fly,,Auberdine,,,,,,https://classic.wowhead.com/quest=,,,,,,,,,,
