Name,Action,XP,Class,ID,Coords,Name,NPC Name,Location,Level,Text,WowHead
Accept: [QA723],Accept,,,723,,Prospect of Faith,Prospector Ryedol,Uldaman,,,
TurnIn: [QT704],TurnIn,,,704,,Agmond's Fate,Prospector Ironband,Loch Modan,,,
TurnIn: [QT17],TurnIn,,,17,,Uldaman Reagent Run,Ghak Healtouch,Loch Modan,,,
Fly to Ironforge,Fly,,,,,,,Ironforge,,,
BUY: 5 Silver Bars,Text,,,,,,,Ironforge,,BUY: 5 Silver Bars,
Accept: [QA2198],Accept,,,2198,,The Shattered Necklace,Itemdrop: Shattered Necklace,Ironforge,,,
TurnIn: [QT2198],TurnIn,,,2198,,The Shattered Necklace,Talvash del Kissel,Ironforge,,,
Accept: [QA2199],Accept,,,2199,,Lore for a Price,Talvash del Kissel,Ironforge,,,
TurnIn: [QT2199],TurnIn,,,2199,,Lore for a Price,Talvash del Kissel,Ironforge,,,
Accept: [QA2200],Accept,,,2200,,Back to Uldaman,Talvash del Kissel,Ironforge,,,
TurnIn: [QT727],TurnIn,,,727,,To Ironforge for Yagyin's Digest,Gerrig Bonegrip,Ironforge,,,
TurnIn: [QT1360],TurnIn,,,1360,,Reclaimed Treasures,Krom Stoutarm,Ironforge,,,
TurnIn: [QT723],TurnIn,,,723,,Prospect of Faith,Historian Karnik,Ironforge,,,
Accept: [QA725],Accept,,,725,,Passing Word of a Threat,Historian Karnik,Ironforge,,,
TurnIn: [QT725],TurnIn,,,725,,Passing Word of a Threat,Advisor Belgrum,Ironforge,,,
Accept: [QA726],Accept,,,726,,Passing Word of a Threat,Advisor Belgrum,Ironforge,,,
TurnIn: [QT726],TurnIn,,,726,,Passing Word of a Threat,Historian Karnik,Ironforge,,,
Accept: [QA762],Accept,,,762,,An Ambassador of Evil,Historian Karnik,Ironforge,,,
Fly to Loch Modan,Fly,,,,,,,Loch Modan,,,
Do: [QC762],Do,,,762,,An Ambassador of Evil,,Badlands,,,
Use your [H] Hearthstone.,UseHearthstone,,,,,,,Badlands,,,
TurnIn: [QT762],TurnIn,,,762,,An Ambassador of Evil,Advisor Belgrum,Ironforge,,,
Accept: [QA1139],Accept,,,1139,,The Lost Tablets of Will,Advisor Belgrum,Loch Modan,,,
Fly to Loch Modan,Fly,,,,,,,Loch Modan,,,
Do a full run of Uldaman up to Grimlok,Text,,,,,,,Uldaman,,Do a full run of Uldaman up to Grimlok,
TurnIn: [QT2200],TurnIn,,,2200,,Back to Uldaman,Remains of a Paladin,Uldaman,,,
Accept: [QA2201],Accept,,,2201,,Find the Gems,Remains of a Paladin,Uldaman,,,
TurnIn: [QT2398],TurnIn,,,2398,,The Lost Dwarves,Baelog,Uldaman,,,
Accept: [QA2240],Accept,,,2240,,The Hidden Chamber,Baelog,Uldaman,,,
Take the Gni'kiv Medallion from the chest on the table,Text,,,,,,,Uldaman,,Take the Gni'kiv Medallion from the chest on the table,
In the same Room as the dwarves there is an Urn for the Topaz,Text,,,,,,,Uldaman,,In the same Room as the dwarves there is an Urn for the Topaz,
Run into the room with Ironaya to finish "The Hidden Chamber",Text,,,,,,,Uldaman,,Run into the room with Ironaya to finish "The Hidden Chamber",
In the Room with Galgann Firehammer open the cache to get the Ruby and Tablet of Will from the Tablet,Text,,,,,,,Uldaman,,In the Room with Galgann Firehammer open the cache to get the Ruby and Tablet of Will from the Tablet,
"Kill Grimlok, loot the Sapphire and use [Talvash's Phial of Scrying] to turnin",Text,,,,,,,Uldaman,,"Kill Grimlok, loot the Sapphire and use [Talvash's Phial of Scrying] to turnin",
TurnIn: [QT2201],TurnIn,,,2201,,Find the Gems,[Talvash's Phial of Scrying],Uldaman,,,
Accept: [QA2204],Accept,,,2204,,Restoring the Necklace,[Talvash's Phial of Scrying],Uldaman,,,
Accept: [QA2278],Accept,,,2278,,The Platinum Discs,The Platinum Discs,Uldaman,,,
TurnIn: [QT2278],TurnIn,,,2278,,The Platinum Discs,The Platinum Discs,Uldaman,,,
Accept: [QA2279],Accept,,,2279,,The Platinum Discs,The Platinum Discs,Uldaman,,,
Grind in Uldaman till level 45,Grind,,,,,,,Uldaman,45,,
Use your [H] Hearthstone.,UseHearthstone,,,,,,,Uldaman,,,
TurnIn: [QT2279],TurnIn,,,2279,,The Platinum Discs,High Explorer Magellas,Ironforge,,,
Accept: [QA2439],Accept,,,2439,,The Platinum Discs,High Explorer Magellas,Ironforge,,,
TurnIn: [QT2240],TurnIn,,,2240,,The Hidden Chamber,Prospector Sormpike,Ironforge,,,
TurnIn: [QT1139],TurnIn,,,1139,,The Lost Tablets of Will,Advisor Belgrum,Ironforge,,,
TurnIn: [QT2204],TurnIn,,,2204,,Restoring the Necklace,Talvash del Kissel,Ironforge,,,
TurnIn: [QT2361],TurnIn,,,2361,,Restoring the Necklace,Talvash del Kissel,Ironforge,,,
TurnIn: [QT2439],TurnIn,,,2439,,The Platinum Discs,Dinita Stonemantle,Ironforge,,,
Accept: [QA2963],Accept,,,2963,,Portents of Uldum,High Explorer Magellas,Ironforge,,,
TurnIn: [QT2963],TurnIn,,,2963,,Portents of Uldum,Historian Karnik,Ironforge,,,
Accept: [QA2946],Accept,,,2946,,Seeing what happens,Historian Karnik,Ironforge,,,
Get to tanaris,Text,,,,,,,Ironforge,,Get to tanaris,
Accept: [QA2875],Accept,,,2875,,Wanted Firebeard,,Tanaris,,,
Accept: [QA2781],Accept,,,2781,,Wanted scorpid,,Tanaris,,,
Accept: [QA1690],Accept,,,1690,,Justice,,Tanaris,,,
Accept: [QA1707],Accept,,,1707,,pouches,,Tanaris,,,
Accept: [QA8365],Accept,,,8365,,hats,,Tanaris,,,
Accept: [QA8366],Accept,,,8366,,kill q,,Tanaris,,,
Do: [QC2875],Do,,,2875,,Wanted Firebeard,,Tanaris,,,
Do: [QC8365],Do,,,8365,,hats,,Tanaris,,,
Do: [QC8366],Do,,,8366,,kill q,,Tanaris,,,
Do: [QC2781],Do,,,2781,,Wanted scorpid,,Tanaris,,,
Do: [QC1690],Do,,,1690,,Justice,,Tanaris,,,
Do: [QC1707],Do,,,1707,,pouches,,Tanaris,,,
TurnIn: [QT8365],TurnIn,,,8365,,hats,,Tanaris,,,
TurnIn: [QT8366],TurnIn,,,8366,,kill q,,Tanaris,,,
TurnIn: [QT2875],TurnIn,,,2875,,Wanted Firebeard,,Tanaris,,,
TurnIn: [QT2781],TurnIn,,,2781,,Wanted scorpid,,Tanaris,,,
TurnIn: [QT1690],TurnIn,,,1690,,Justice,,Tanaris,,,
TurnIn: [QT1707],TurnIn,,,1707,,pouches,,Tanaris,,,
Accept: [QA992],Accept,,,992,,silithid q,,Tanaris,,,
Do: [QC992],Do,,,992,,,,Tanaris,,,
Grind in Zul'Farrak till level 48,Grind,,,,,,,Zul'Farrak,48,,
TurnIn: [QT992],TurnIn,,,992,,silithid q,,Tanaris,,,
Accept: [QA5863],Accept,,,5863,,ogre,,Tanaris,,,
Do: [QC5863],Do,,,5863,,ogre,,Tanaris,,,
TurnIn: [QT2946],TurnIn,,,2946,,Seeing what happens,,Tanaris,,,
Accept: [QA2954],Accept,,,2954,,,,Tanaris,,,
TurnIn: [QT2954],TurnIn,,,2954,,,,Tanaris,,,
Accept: [QA2977],Accept,,,2977,,,,Tanaris,,,
TurnIn: [QT2977],TurnIn,,,2977,,,,Tanaris,,,
TurnIn: [QT5863],TurnIn,,,5863,,ogre,,Tanaris,,,
Use your [H] Hearthstone.,UseHearthstone,,,,,,,Tanaris,,,
Fly to Loch Modan,Fly,,,,,,,Loch Modan,,,
Accept: [QA706],Accept,,,706,,Fiery Blaze Enchantments,Sigrun Ironhew,Badlands,,,
Accept: [QA717],Accept,,,717,,Tremors of the Earth,Garek,Badlands,,,
"[O] You will get Fiery Blaze Enchantments along this quest usually,if not, abandon it.",Text,,,,,Tremors of the Earth,,Badlands,,"[O] You will get Fiery Blaze Enchantments along this quest usually,if not, abandon it.",
Do: [QC717],Do,,,717,,Tremors of the Earth,,Badlands,,,
Do: [QC717],Do,,,717,,Tremors of the Earth,,Badlands,,,
Do: [QC717],Do,,,717,,Tremors of the Earth,,Badlands,,,
TurnIn: [QT779],TurnIn,,,779,,Seal of the earth,Seal of the earth,Badlands,,,
TurnIn: [QT717],TurnIn,,,717,,Tremors of the Earth,Garek,Badlands,,,
TurnIn: [QT706],TurnIn,,,706,,Fiery Blaze Enchantments,Sigrun Ironhew,Badlands,,,
Accept: [QA4449],Accept,,,4449,,Caught!,Wooden Outhouse,Searing Gorge,,,
Do: [QC4449],Do,,,4449,,Caught!,,Searing Gorge,,,
"[O]Allthough this is optional,I highly recommend doing this,great XP! Kill Margol the Rager at [G 73.2,76.6]",Text,,,,,,,Searing Gorge,,"[O]Allthough this is optional,I highly recommend doing this,great XP! Kill Margol the Rager at [G 73.2,76.6]",
Accept: [QA3181],Accept,,,3181,,The Horn of the Beast,[Margol's Horn],Searing Gorge,,,
TurnIn: [QT4449],TurnIn,,,4449,,Caught!,Wooden Outhouse,Searing Gorge,,,
Accept: [QA4450],Accept,,,4450,,Ledger from Tanaris,Wooden Outhouse,Searing Gorge,,,
LOOT THE BOOK ON THE GROUND!,Text,,,,,,,Searing Gorge,,LOOT THE BOOK ON THE GROUND!,
Accept: [QA3367],Accept,,,3367,,Suntara Stones,Dorius Stonetender,Searing Gorge,,,
Do: [QC3367],Do,,,3367,,Suntara Stones,,Searing Gorge,,,
TurnIn: [QT3367],TurnIn,,,3367,,Suntara Stones,Singed Letter,Searing Gorge,,,
Accept: [QA3368],Accept,,,3368,,Suntara Stones,Singed Letter,Searing Gorge,,,
Do: [QC4450],Do,,,4450,,Ledger from Tanaris,,Searing Gorge,,,
Accept: [QA3441],Accept,,,3441,,Divine Retribution,Kalaran Windblade,Searing Gorge,,,
TurnIn: [QT3441],TurnIn,,,3441,,Divine Retribution,Kalaran Windblade,Searing Gorge,,,
Accept: [QA3442],Accept,,,3442,,The Flawless Flame,Kalaran Windblade,Searing Gorge,,,
Accept: [QA7701],Accept,,,7701,,Wanted: Overseer Maltorius,Wanted Sign,Searing Gorge,,,
Accept: [QA7728],Accept,,,7728,,Stolen: Smithing Tuyere and Lookout's Spyglass,Wanted Sign,Searing Gorge,,,
Accept: [QA7729],Accept,,,7729,,Job Opportunity: Culling the competition,Wanted Sign,Searing Gorge,,,
Accept: [QA7723],Accept,,,7723,,Curse these fat fingers,Hansel Heavyhands,Searing Gorge,,,
Accept: [QA7724],Accept,,,7724,,Fiery Menace!,Hansel Heavyhands,Searing Gorge,,,
Accept: [QA7727],Accept,,,7727,,Incendosaurs? Whateverosaur is More Like It,Hansel Heavyhands,Searing Gorge,,,
Accept: [QA7722],Accept,,,7722,,What the FLUX?,Master Smith Burninate,Searing Gorge,,,
"Send one person using his Hearthstone and follow the next steps, the rest of the group starts collecting the Golem Oil and heart of Flame, once someone is done with it (Loot: Free for all helps!) he does the same steps as following",Text,,,,,,,Searing Gorge,,"Send one person using his Hearthstone and follow the next steps, the rest of the group starts collecting the Golem Oil and heart of Flame, once someone is done with it (Loot: Free for all helps!) he does the same steps as following",
Use your [H] Hearthstone.,UseHearthstone,,,,,,,Searing Gorge,,,
TurnIn: [QT3181],TurnIn,,,3181,,The Horn of the Beast,Mountaineer Pebblebitty,Loch Modan,,,
Accept: [QA3182],Accept,,,3182,,Proof of deed,Mountaineer Pebblebitty,Searing Gorge,,,
TurnIn: [QT3182],TurnIn,,,3182,,Proof of deed,Curator Thorius,Searing Gorge,,,
TurnIn: [QT3368],TurnIn,,,3368,,Suntara Stones,Curator Thorius,Searing Gorge,,,
Accept: [QA3201],Accept,,,3201,,At last!,Curator Thorius,Searing Gorge,,,
Accept: [QA3371],Accept,,,3371,,Dwarven Justice,Curator Thorius,Searing Gorge,,,
Fly to Loch Modan,Fly,,,,,,,Loch Modan,,,
TurnIn: [QT3201],TurnIn,,,3201,,At last!,Mountaineer Pebblebitty,Loch Modan,,,
Do: [QC3442],Do,,,3442,,The Flawless Flame,,Searing Gorge,,,
TurnIn: [QT3442],TurnIn,,,3442,,The Flawless Flame,Kalaran Windblade,Searing Gorge,,,
Accept: [QA3443],Accept,,,3443,,Forging the Shaft,Kalaran Windblade,Searing Gorge,,,
Do: [QC7728],Do,,,7728,,Stolen: Smithing Tuyere and Lookout's Spyglass,,Searing Gorge,,,
Do: [QC7729],Do,,,7729,,Job Opportunity: Culling the competition,,Searing Gorge,,,
Do: [QC7723],Do,,,7723,,Curse these fat fingers,,Searing Gorge,,,
Do: [QC7724],Do,,,7724,,Fiery Menace!,,Searing Gorge,,,
Do: [QC7727],Do,,,7727,,Incendosaurs? Whateverosaur is More Like It,,Searing Gorge,,,
Do: [QC7701],Do,,,7701,,Wanted: Overseer Maltorius,,Searing Gorge,,,
Do: [QC7722],Do,,,7722,,What the FLUX?,,Searing Gorge,,,
Do: [QC3443],Do,,,3443,,Forging the Shaft,,Searing Gorge,,,
TurnIn: [QT3371],TurnIn,,,3371,,Dwarven Justice,Dying Archeologist,Searing Gorge,,,
Accept: [QA3372],Accept,,,3372,,Release Them,Dying Archeologist,Searing Gorge,,,
TurnIn: [QT3443],TurnIn,,,3443,,Forging the Shaft,Kalaran Windblade,Searing Gorge,,,
Accept: [QA3452],Accept,,,3452,,The Flame's Casing,Kalaran Windblade,Searing Gorge,,,
Do: [QC3372],Do,,,3372,,Release Them,,Searing Gorge,,,
Do: [QC3452],Do,,,3452,,The Flame's Casing,,Searing Gorge,,,
Accept: [QA3377],Accept,,,3377,,Prayer to Elune,Zamael Lunthistle,Searing Gorge,,,
Do: [QC3377],Do,,,3377,,Prayer to Elune,,Searing Gorge,,,
TurnIn: [QT3377],TurnIn,,,3377,,Prayer to Elune,Zamael Lunthistle,Searing Gorge,,,
Accept: [QA3378],Accept,,,3378,,Prayer to Elune,Zamael Lunthistle,Searing Gorge,,,
TurnIn: [QT7701],TurnIn,,,7701,,Wanted: Overseer Maltorius,,Searing Gorge,,,
TurnIn: [QT7723],TurnIn,,,7723,,Curse these fat fingers,,Searing Gorge,,,
TurnIn: [QT7724],TurnIn,,,7724,,Fiery Menace!,,Searing Gorge,,,
TurnIn: [QT7727],TurnIn,,,7727,,Incendosaurs? Whateverosaur is More Like It,,Searing Gorge,,,
TurnIn: [QT7728],TurnIn,,,7728,,Stolen: Smithing Tuyere and Lookout's Spyglass,,Searing Gorge,,,
TurnIn: [QT7729],TurnIn,,,7729,,Job Opportunity: Culling the competition,,Searing Gorge,,,
TurnIn: [QT7722],TurnIn,,,7722,,What the FLUX?,,Searing Gorge,,,
TurnIn: [QT3452],TurnIn,,,3452,,The Flame's Casing,Kalaran Windblade,Searing Gorge,,,
Accept: [QA3453],Accept,,,3453,,The Torch of Retribution,Kalaran Windblade,Searing Gorge,,,
TurnIn: [QT3453],TurnIn,,,3453,,The Torch of Retribution,Kalaran Windblade,Searing Gorge,,,
Accept: [QA3454],Accept,,,3454,,The Torch of Retribution,Kalaran Windblade,Searing Gorge,,,
Do: [QC3454],Do,,,3454,,The Torch of Retribution,,Searing Gorge,,,
TurnIn: [QT3454],TurnIn,,,3454,,The Torch of Retribution,Kalaran Windblade,Searing Gorge,,,
Accept: [QA3462],Accept,,,3462,,Squire Maltrake,Kalaran Windblade,Searing Gorge,,,
TurnIn: [QT3462],TurnIn,,,3462,,Squire Maltrake,Squire Maltrake,Searing Gorge,,,
Accept: [QA3463],Accept,,,3463,,Set them Ablaze!,Squire Maltrake,Searing Gorge,,,
Do: [QC3463],Do,,,3463,,Set them Ablaze!,,Searing Gorge,,,
Do: [QC3463],Do,,,3463,,Set them Ablaze!,,Searing Gorge,,,
Do: [QC3463],Do,,,3463,,Set them Ablaze!,,Searing Gorge,,,
Do: [QC3463],Do,,,3463,,Set them Ablaze!,,Searing Gorge,,,
TurnIn: [QT3372],TurnIn,,,3372,,Release Them,Altar of Suntara,Searing Gorge,,,
Accept: [QA3566],Accept,,,3566,,"Rise, Obsidion!",Dying Archeologist,Searing Gorge,,,
Do: [QC3566],Do,,,3566,,"Rise, Obsidion!",,Searing Gorge,,,
TurnIn: [QT3463],TurnIn,,,3463,,Set them Ablaze!,Squire Maltrake,Searing Gorge,,,
Accept: [QA3481],Accept,,,3481,,Trinkets...,Hoard of the Black Dragonflight,Searing Gorge,,,
TurnIn: [QT3481],TurnIn,,,3481,,Trinkets...,Hoard of the Black Dragonflight,Searing Gorge,,,
Inventory time (sell it all) Were going into BRD soon,Text,,,,,,,Searing Gorge,,Inventory time (sell it all) Were going into BRD soon,
"Run to [G48.5,63.8Searing Gorge]",Run,,,,"48.5,63.8",,,Searing Gorge,,,
"Die in the lava, no seriously, DIE! There is a quest that you can only obtain whilst dead!",Text,,,,,,,Searing Gorge,,"Die in the lava, no seriously, DIE! There is a quest that you can only obtain whilst dead!",
Run back to the Blackrock go into the middle part of it.,Text,,,,,,,Searing Gorge,,Run back to the Blackrock go into the middle part of it.,
Accept: [QA3801],Accept,,,3801,,Dark Iron Legacy,Franclorn Forgewright,Searing Gorge,,,
TurnIn: [QT3801],TurnIn,,,3801,,Dark Iron Legacy,Franclorn Forgewright,Searing Gorge,,,
Accept: [QA3802],Accept,,,3802,,Dark Iron Legacy,Franclorn Forgewright,Searing Gorge,,,
Get your corpse back,Text,,,,,,,Searing Gorge,,Get your corpse back,
Grind in Black Rock Depths till level 52,Grind,,,,,,,Black Rock Depths,52,,
Do: [QC3802],Do,,,3802,,Dark Iron Legacy,,Black Rock Depths,,,
TurnIn: [QT3802],TurnIn,,,3802,,Dark Iron Legacy,Monument of Franclorn Forgewright,Black Rock Depths,,,
Fly to Ironforge,Fly,,,,,,,Ironforge,,,
TurnIn: [QT3566],TurnIn,,,3566,,"Rise, Obsidion!",Curator Thorius,Ironforge,,,
Accept: [QA3823],Accept,,,3823,,Extinguish the Firegut,Oralius,Burning Steppes,,,
Accept: [QA4283],Accept,,,4283,,Fifty! Yep!,Oralius,Burning Steppes,,,
Accept: [QA4182],Accept,,,4182,,Dragonkin Menace,Helendis Riverhorn,Burning Steppes,,,
Accept: [QA4726],Accept,,,4726,,Broodling Essence,Tinkee Steamboil,Burning Steppes,,,
Accept: [QA4296],Accept,,,4296,,Tablet of the seven,Maxwort Uberglint,Burning Steppes,,,
Do: [QC3701],Do,,,3701,,The Smoldering Ruins of Thaurissan,,Burning Steppes,,,
Do: [QC4296],Do,,,4296,,Tablet of the seven,,Burning Steppes,,,
Do: [QC3823],Do,,,3823,,Extinguish the Firegut,,Burning Steppes,,,
Do: [QC4726],Do,,,4726,,Broodling Essence,,Burning Steppes,,,
Do: [QC4182],Do,,,4182,,Dragonkin Menace,,Burning Steppes,,,
Accept: [QA4023],Accept,,,4023,,A Taste of Flame,,Burning Steppes,,,
TurnIn: [QT4023],TurnIn,,,4023,,A Taste of Flame,,Burning Steppes,,,
TurnIn: [QT4726],TurnIn,,,4726,,Broodling Essence,Tinkee Steamboil,Burning Steppes,,,
TurnIn: [QT4296],TurnIn,,,4296,,Tablet of the seven,Maxwort Uberglint,Burning Steppes,,,
TurnIn: [QT3823],TurnIn,,,3823,,Extinguish the Firegut,Oralius,Burning Steppes,,,
Accept: [QA3824],Accept,,,3824,,Gor'tesh the Brute Lord,Oralius,Burning Steppes,,,
TurnIn: [QT4182],TurnIn,,,4182,,Dragonkin Menace,Helendis Riverhorn,Burning Steppes,,,
Accept: [QA4183],Accept,,,4183,,The True Masters,,Burning Steppes,,,
Do: [QC3824],Do,,,3824,,Gor'tesh the Brute Lord,,Burning Steppes,,,
Do: [QC4283],Do,,,4283,,Fifty! Yep!,,Burning Steppes,,,
TurnIn: [QT4283],TurnIn,,,4283,,Fifty! Yep!,,,,,
TurnIn: [QT3824],TurnIn,,,3824,,Gor'tesh the Brute Lord,,Burning Steppes,,,
Fly to Redridge Mountains,Fly,,,,,,,Redridge Mountains,,,
TurnIn: [QT4183],TurnIn,,,4183,,The True Masters,Magistrate Solomon,Redridge Mountains,,,
Accept: [QA4184],Accept,,,4184,,The True Masters,Magistrate Solomon,Redridge Mountains,,,
Fly to Stormwind City,Fly,,,,,,,Stormwind City,,,
TurnIn: [QT4184],TurnIn,,,4184,,The True Masters,Highlord Bolvar Fordragon,Stormwind City,,,
Accept: [QA4185],Accept,,,4185,,The True Masters,Highlord Bolvar Fordragon,Stormwind City,,,
Do: [QC4185],Do,,,4185,,The True Masters,,Stormwind City,,,
TurnIn: [QT4185],TurnIn,,,4185,,The True Masters,Highlord Bolvar Fordragon,Stormwind City,,,
Accept: [QA4186],Accept,,,4186,,The True Masters,Highlord Bolvar Fordragon,Stormwind City,,,
Accept: [QA6182],Accept,,,6182,,The First and the last,Highlord Bolvar Fordragon,Stormwind City,,,
TurnIn: [QT6182],TurnIn,,,6182,,The First and the last,Master Mathias Shaw,Stormwind City,,,
Accept: [QA6183],Accept,,,6183,,Honor the Dead,Master Mathias Shaw,Stormwind City,,,
TurnIn: [QT6183],TurnIn,,,6183,,Honor the Dead,Master Mathias Shaw,Stormwind City,,,
Accept: [QA6184],Accept,,,6184,,Flint Shadowmore,Master Mathias Shaw,Stormwind City,,,
Fly to Redridge,Fly,,,,,,,Redridge,,,
